id,time,content
1196826298431213568,Tue Nov 19 16:23:20,"RT @RobertJenrick: More details on the PM's announcement that flood-hit homes and businesses will be able to receive up to £5,000 to help p…"
1196858796418703362,Tue Nov 19 18:32:28,RT @BorisJohnson: Looking forward to sharing with you my positive vision for the country 🇬🇧 https://t.co/ZbZu0ESIMI
1196861690605973505,Tue Nov 19 18:43:58,RT @Conservatives: #BackBoris 👍 https://t.co/SgErQqJ0us
1196861746079813632,Tue Nov 19 18:44:11,"RT @JakeBerry: Tonight, 8pm, ITV 1

Boris vs. Corbyn

Get Brexit Done vs. dither and delay

#BackBoris 👇 https://t.co/zqTGH3PsFH"
1196861773036609536,Tue Nov 19 18:44:17,"RT @miriam_cates: Penistone &amp; Stocksbridge team orders - early finish - the boss is on tv.
#KettleOn
#LeadersDebate
#BackBoris https://t.co…"
1196861785359429632,Tue Nov 19 18:44:20,"RT @EddieHughes4WN: In the blue corner...

#BackBoris
#LeadersDebate https://t.co/bHMBKg5CK0"
1196861809782919170,Tue Nov 19 18:44:26,"RT @Conservatives: ✊ #BackBoris at the first election debate.

📺 8pm. @ITV. 

🗣 Let's get Brexit done! https://t.co/6hKJheIa8L"
1196871610751430656,Tue Nov 19 19:23:23,RT @Conservatives: #BackBoris 👍 to 👍 get 👍 Brexit 👍 done 👍 https://t.co/HWSYbN9VSv
1196878885692026880,Tue Nov 19 19:52:17,".@jeremycorbyn will you be able to answer these questions tonight?

Would you back leave or remain in a 2nd referendum?
Would immigration be higher or lower under Labour?
How much would Labour pay for market access to the EU?

https://t.co/PnKGrM0nfS

#LeadersDebate"
1196881694114172928,Tue Nov 19 20:03:27,RT @NickyMorgan01: Tonight @borisjohnson will set out the clear choice at this election: A majority Conservative government that will end t…
1196882272219205634,Tue Nov 19 20:05:45,RT @BrandonLewis: No mention of the key issue of Brexit by @jeremycorbyn bizarre!
1196882340238299137,Tue Nov 19 20:06:01,".@jeremycorbyn has no plan for Brexit.  Labour’s official policy is more dither on Brexit, with a second referendum. Labour Conference voted to make Corbyn’s indecision official party policy #LeadersDebate

https://t.co/A9w2tE1rE6"
1196882518416470022,Tue Nov 19 20:06:44,"RT @ToryEconomy: .@jeremycorbyn would DESTROY our economy the only change would be:

❌ A relative cut for our NHS

❌ Highest TAXES in peace…"
1196882561156501507,Tue Nov 19 20:06:54,"RT @SteveBarclay: The PM is right to highlight the damaging uncertainty under a Corbyn government, which would give us two referendums in 2…"
1196882640013529089,Tue Nov 19 20:07:13,The fact is @jeremycorbyn and @UKLabour have no plan for Brexit #LeadersDebate https://t.co/qZfrKi8pGY
1196882685337251842,Tue Nov 19 20:07:23,RT @BrandonLewis: Quite a contrast between the leaders already with Corbyn looking tired and avoiding any comment on the key issue of the e…
1196882692849180673,Tue Nov 19 20:07:25,"False claims from Corbyn on the economy  - Under @Conservatives, nine years of growth, unemployment at record low, Labour's deficit cut by by more than three quarters #backBoris #leadersdebate"
1196882908038025216,Tue Nov 19 20:08:16,RT @BorisJohnson: Only a majority Conservative government can get Brexit done. We have a deal that is ready to go. Let's make 2020 the year…
1196883073813618688,Tue Nov 19 20:08:56,"RT @RobertJenrick: Strong start by the PM.

As @BorisJohnson just said, people want to unleash the potential of this country and get Brexit…"
1196883128004034571,Tue Nov 19 20:09:09,"RT @ToryEconomy: We will get Brexit done with a @Conservatives majority government: 

🥀 Over 100 @UKLabour candidates want to remain - they…"
1196883129027506180,Tue Nov 19 20:09:09,"Has @jeremycorbyn worked out yet what sort of Brexit deal he wants? 

As @BorisJohnson makes clear we will get Brexit done  

#GetBrexitDone #LeadersDebate"
1196883256324562950,Tue Nov 19 20:09:39,RT @trussliz: Strong opening statement from @BorisJohnson with clear way forward on Brexit. All Conservative candidates are behind his deal…
1196883274351759360,Tue Nov 19 20:09:44,"RT @ToryHealth: We can #GetBrexitDone and move on to give our NHS the attention it deserves.

Corbyn just offers more dither and delay.

#I…"
1196883308635983873,Tue Nov 19 20:09:52,"Corbyn promised time and again to respect the referendum result - he's shattered that promise by now backing a second referendum, you can't trust what he says"
1196883389917339649,Tue Nov 19 20:10:11,"This is the second time @jeremycorbyn hasn't answered if he backs Leave or Remain.

What is it Jezza?

#LeadersDebate"
1196883466962509825,Tue Nov 19 20:10:30,RT @sajidjavid: Took less than 2min to show the gulf in leadership between Boris and Corbyn. Only one has a clear view on the biggest issue…
1196883628422320131,Tue Nov 19 20:11:08,"First mistake from Corbyn - DUP didn’t support

#LeadersDebate https://t.co/B2hJmBIsi0"
1196883713608572933,Tue Nov 19 20:11:29,"RT @Conservatives: A vote for Corbyn is a vote for a hung Parliament, which would only deliver more gridlock, more delay, and two more chao…"
1196883749247627265,Tue Nov 19 20:11:37,RT @MattHancock: No one thought Boris could get a new deal - and he did. Only with the Conservatives can we get Brexit done - and then move…
1196883766150672384,Tue Nov 19 20:11:41,"RT @NadineDorries: #ITVDebate #BackBoris #LeadersDebate 

Jeremy Corbyn in No10 would mean more years of dither, delay and uncertainty. 

#…"
1196883786283311106,Tue Nov 19 20:11:46,"RT @ToryEconomy: If we #GetBrexitDone we can focus on our priorities:

💪 Build a stronger economy, meaning

🏥 More money for our frontline…"
1196883838007422976,Tue Nov 19 20:11:58,THIRD time Corbyn refuses to answer simple question on whether he would back leave or remain in his second referendum #backboris #leadersdebate
1196883862007230465,Tue Nov 19 20:12:04,"Fact check: Labour's claim that they can get a whole new deal in three months has been dismissed by the EU

#LeadersDebate"
1196884159215624193,Tue Nov 19 20:13:15,RT @MattHancock: Why won’t Corbyn say how he would vote in the second referendum he proposes?
