id,time,content
1196878885692026880,Tue Nov 19 19:52:17,.@jeremycorbyn will you be able to answer these questions tonight? Would you back leave or remain in a 2nd referendum? Would immigration be higher or lower under Labour? How much would Labour pay for market access to the EU? https://t.co/PnKGrM0nfS #LeadersDebate
1196882340238299137,Tue Nov 19 20:06:01,".@jeremycorbyn has no plan for Brexit.  Labour’s official policy is more dither on Brexit, with a second referendum. Labour Conference voted to make Corbyn’s indecision official party policy #LeadersDebate https://t.co/A9w2tE1rE6"
1196882640013529089,Tue Nov 19 20:07:13,The fact is @jeremycorbyn and @UKLabour have no plan for Brexit #LeadersDebate https://t.co/qZfrKi8pGY
1196882692849180673,Tue Nov 19 20:07:25,"False claims from Corbyn on the economy  - Under @Conservatives, nine years of growth, unemployment at record low, Labour's deficit cut by by more than three quarters #backBoris #leadersdebate"
1196883129027506180,Tue Nov 19 20:09:09,Has @jeremycorbyn worked out yet what sort of Brexit deal he wants?  As @BorisJohnson makes clear we will get Brexit done   #GetBrexitDone #LeadersDebate
1196883308635983873,Tue Nov 19 20:09:52,"Corbyn promised time and again to respect the referendum result - he's shattered that promise by now backing a second referendum, you can't trust what he says"
1196883389917339649,Tue Nov 19 20:10:11,This is the second time @jeremycorbyn hasn't answered if he backs Leave or Remain. What is it Jezza? #LeadersDebate
1196883628422320131,Tue Nov 19 20:11:08,First mistake from Corbyn - DUP didn’t support #LeadersDebate https://t.co/B2hJmBIsi0
1196883838007422976,Tue Nov 19 20:11:58,THIRD time Corbyn refuses to answer simple question on whether he would back leave or remain in his second referendum #backboris #leadersdebate
1196883862007230465,Tue Nov 19 20:12:04,Fact check: Labour's claim that they can get a whole new deal in three months has been dismissed by the EU #LeadersDebate
1196884334797611016,Tue Nov 19 20:13:57,"Corbyn is lying on the NHS - the PM, POTUS and trade experts have all confirmed that the NHS will NOT be on the table in a US trade deal. Corbyn is lying about the NHS just to distract from his confused Brexit position https://t.co/y7xEp2Elsx"
1196884620438048775,Tue Nov 19 20:15:05,".@Conservatives have made clear that ""the NHS will never, under any circumstances, be on the table in any future trade talks. The price the NHS pays for drugs won’t be on the table. And the services the NHS delivers won’t be on the table."" https://t.co/9cQTqKtvui https://t.co/hJQpRVOxJm"
1196884776797589505,Tue Nov 19 20:15:42,FACT: The US President has confirmed that the NHS would not be on the table in trade negotiations #LeadersDebate https://t.co/G2i1eOqEKg
1196885186442600449,Tue Nov 19 20:17:20,FACT: The NHS is not on the table #LeadersDebate https://t.co/iqzlilErvz
1196885376583032836,Tue Nov 19 20:18:05,.@jeremycorbyn would do a deal with the SNP.  That would break up our Union  #LeadersDebate
1196885443813552131,Tue Nov 19 20:18:21,“There’s no evidence that this is the case “ - Channel 4 Fact Check’s verdict on Corbyn’s LIE about US pharmaceuticals & the NHS #leadersdebate https://t.co/iGKZgN2uTv
1196885596494540803,Tue Nov 19 20:18:57,Jeremy Corbyn won't be honest with the British people about his Brexit policy. If he wins we will have months of dither and delay followed by two referendums - one on Brexit and one on Scotland. We should #GetBrexitDone in January and move on #BackBoris
1196885842419167233,Tue Nov 19 20:19:56,"FACT: @jeremycorbyn said a second independence referendum would be ""absolutely fine"" https://t.co/iU4rXvyYf4"
1196886363091750912,Tue Nov 19 20:22:00,"FACT: Jeremy Corbyn has accepted the idea of a second independence referendum in Scotland if he becomes PM He said: ‘If the Scottish parliament demands it, then there could be, at a much later stage, a referendum’  #LeadersDebate https://t.co/2LUtE22TQd"
1196886767867170816,Tue Nov 19 20:23:37,.@jeremycorbyn has accepted the idea of a second independence referendum so he can do a deal with the SNP #LeadersDebate https://t.co/1IsmSZ5AOZ
1196887010310545409,Tue Nov 19 20:24:35,.@BorisJohnson's great new deal ensures that the whole UK comes out of the EU's customs union. It says - in black and white - that Northern Ireland is in the UK's customs territory #GetBrexitDone #LeadersDebate
1196887145723678722,Tue Nov 19 20:25:07,".@BorisJohnson promised to get a great new deal - and he managed to get this in under 100 days. He has kept his promises on Brexit, and with a Conservative majority he will #GetBrexitDone  #LeadersDebate"
1196887338594586626,Tue Nov 19 20:25:53,The SNP have been clear - our national defences would be up for negotiation in a Corbyn SNP alliance #leadersdebate https://t.co/yUQ27Zl7oZ
